date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:20:59	102787/102787	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Aug%202022%2020:16:02%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index7.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index7.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:20:59	83126/83126	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:13:58%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/box_cards.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/box_cards.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:20:59	72350/72350	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:13:56%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/box_advanced.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/box_advanced.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:00	70004/70004	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:13:56%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/box_basic.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/box_basic.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:00	77023/77023	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:13:58%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/box_color.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/box_color.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:00	73060/73060	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:13:58%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/box_group.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/box_group.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:01	74341/74341	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:04%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_grid.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_grid.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:01	72443/72443	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:02%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_badges.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_badges.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:01	66063/66063	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:02%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_border_utilities.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_border_utilities.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:02	114370/114370	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:02%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_buttons.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_buttons.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:02	71396/71396	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:02%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_color_utilities.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_color_utilities.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:02	71828/71828	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:02%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_dropdown.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_dropdown.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:03	79718/79718	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:02%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_dropdown_grid.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_dropdown_grid.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:03	82101/82101	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:04%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_progress_bars.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/ui_progress_bars.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:03	188329/188329	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_fontawesome.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_fontawesome.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:04	102334/102334	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_glyphicons.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_glyphicons.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:04	247206/247206	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_material.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_material.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:04	97117/97117	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_themify.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_themify.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:05	117336/117336	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_simpleline.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_simpleline.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
08:21:05	123028/123028	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2017:14:00%20GMT	https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_cryptocoins.html	C:/Users/PC/Documents/Template/bursary/investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/icons_cryptocoins.html	(from https://investx-admin-template.multipurposethemes.com/New_InvestX-main-files/html/template/vertical-light/main/index.html)
